"Timestamp","Age","Gender","Nationality","How familiar are you with AI?","Indicate the extent to which you agree or disagree with each statement.   [I feel comfortable when businesses use AI to automate customer service.]","Indicate the extent to which you agree or disagree with each statement.   [I trust AI in business when it provides reliable information.]","Indicate the extent to which you agree or disagree with each statement.   [I trust AI in business to treat people without bias.]","Indicate the extent to which you agree or disagree with each statement.   [I trust AI more when it explains the reasoning behind its answers.]","Indicate the extent to which you agree or disagree with each statement.   [I trust businesses to use AI responsibly when handling my personal data.]","Indicate the extent to which you agree or disagree with each statement.   [I believe AI can help businesses make more ethical decisions.]","Indicate the extent to which you agree or disagree with each statement.   [I believe businesses that use AI gain a competitive advantage.]"
"2026/01/21 12:30:02 AM GMT+4","36","Prefer not to say","United States","Very familiar","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Somewhat agree"
"2026/01/21 12:51:29 AM GMT+4","37","Prefer not to say","American","Very familiar","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree"
"2026/01/21 1:02:01 AM GMT+4","37","Male","USA","Very familiar","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree"
"2026/01/21 1:36:26 AM GMT+4","41","Male","Canadian ","Somewhat familiar","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree"
"2026/01/21 2:12:21 AM GMT+4","38","Male","USA","Somewhat familiar","Disagree","Disagree","Disagree","Somewhat agree","Disagree","Disagree","Somewhat disagree"
"2026/01/21 5:08:18 AM GMT+4","26","Female","Dutch","Very familiar","Disagree","Somewhat disagree","Disagree","Somewhat agree","Disagree","Disagree","Somewhat agree"
"2026/01/21 5:52:17 AM GMT+4","22","Prefer not to say","USA","Somewhat familiar","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree"
"2026/01/21 6:16:25 AM GMT+4","35","Female","American (USA)","Very familiar","Disagree","Disagree","Disagree","Somewhat disagree","Disagree","Disagree","Disagree"
"2026/01/22 3:11:25 AM GMT+4","28","Prefer not to say","USA","Very familiar","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree"
"2026/01/22 3:56:37 AM GMT+4","35","Male","USA","Very familiar","Disagree","Disagree","Disagree","Somewhat agree","Disagree","Disagree","Somewhat agree"
"2026/01/22 1:38:41 PM GMT+4","23","Female","Canadian","Very familiar","Disagree","Disagree","Disagree","Somewhat disagree","Disagree","Disagree","Disagree"
"2026/01/24 7:28:13 AM GMT+4","34","Male","USA ","Very familiar","Disagree","Disagree","Somewhat disagree","Somewhat agree","Disagree","Somewhat disagree","Disagree"
"2026/01/24 8:46:15 AM GMT+4","18","Female","Brazil ","Somewhat familiar","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Somewhat agree"
"2026/01/24 9:41:07 AM GMT+4","33","Male","US","Somewhat familiar","Somewhat disagree","Disagree","Disagree","Somewhat disagree","Disagree","Disagree","Disagree"
"2026/01/24 12:46:45 PM GMT+4","44","Male","uk","Somewhat familiar","Disagree","Disagree","Disagree","Somewhat disagree","Disagree","Disagree","Disagree"
"2026/01/26 5:02:08 AM GMT+4","30","Male","Canadian","Very familiar","Somewhat disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Somewhat agree"
"2026/01/26 6:05:20 AM GMT+4","39","Female","brazilian","Very familiar","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree"
"2026/01/26 7:54:04 AM GMT+4","32","Male","American","Very familiar","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree"
"2026/01/26 6:40:21 PM GMT+4","45","Male","USA","Somewhat familiar","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Somewhat disagree"
"2026/01/27 7:36:34 AM GMT+4","20","Female","american ","Somewhat familiar","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree"
"2026/01/27 8:12:06 PM GMT+4","39","Male","United States","Very familiar","Somewhat disagree","Somewhat agree","Disagree","Somewhat agree","Disagree","Somewhat disagree","Somewhat disagree"
"2026/01/27 8:22:19 PM GMT+4","31","Female","eu","Somewhat familiar","Somewhat agree","Somewhat agree","Somewhat disagree","Agree","Disagree","Disagree","Somewhat agree"
"2026/01/27 8:37:32 PM GMT+4","20","Male","Swedish & British","Very familiar","Somewhat agree","Somewhat agree","Somewhat disagree","Agree","Disagree","Somewhat agree","Agree"
"2026/01/28 1:34:32 AM GMT+4","20","Male","White British","Very familiar","Disagree","Somewhat disagree","Disagree","Agree","Disagree","Disagree","Disagree"
"2026/01/28 9:10:18 AM GMT+4","22","Male","French","Somewhat familiar","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree"
"2026/01/29 2:17:53 PM GMT+4","20","Female","Emirate","Somewhat familiar","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree"
